status,reported,description,type,address,occurred
CLOSED,2019-06-25 22:07:00+00:00,Officer dispatched to take a report of an individual tapping on a window with a metal wire.,SUSPICIOUS ACTIVITY,WIGGLESWORTH HALL G 6 HARVARD YARD CAMBRIDGE,6/25/19 7:00 PM - 7:20 PM
CLOSED,2019-06-25 22:07:00+00:00,Officer dispatched to take a report of an individual tapping on a window with a metal wire.,SUSPICIOUS ACTIVITY,WIGGLESWORTH HALL G 6 HARVARD YARD CAMBRIDGE,"6/25/19
7:00 PM - 7:20 PM"
CLOSED,2019-06-25 22:07:00+00:00,Officer dispatched to take a report of an individual tapping on a window with a metal wire.,SUSPICIOUS ACTIVITY,WIGGLESWORTH HALL G 6 HARVARD YARD CAMBRIDGE,6/25/19 7:00 PM - 7:20 PM
CLOSED,2019-06-26 03:20:00+00:00,Officer dispatched to a report of vandalism occurring to motor vehicles parked on the street. Officer arrived and reported that Cambridge Police was on scene shortly thereafter and took jurisdiction over the incident.,ASSIST CAMBRIDGE POLICE,10 GARDEN STCAMBRIDGE,6/26/19 3:20
CLOSED,2019-06-26 03:20:00+00:00,Officer dispatched to a report of vandalism occurring to motor vehicles parked on the street. Officer arrived and reported that Cambridge Police was on scene shortly thereafter and took jurisdiction over the incident.,ASSIST CAMBRIDGE POLICE,10 GARDEN STCAMBRIDGE,6/26/19 3:20
CLOSED,2019-06-26 03:20:00+00:00,"Officer dispatched to a report of vandalism occurring to motor vehicles parked on the street. Officer arrived and reported
that Cambridge Police was on scene shortly thereafter and took jurisdiction over the incident.",ASSIST CAMBRIDGE POLICE ,10 GARDEN ST,"6/26/19
3:20 AM"
ARREST,2019-06-26 06:02:00+00:00,"Officers dispatched to a report of an unwanted guest urinating on the sidewalk adjacent to the building. Officers arrived, located the individual, and reported that they were in the process of removing several of their belongings placed against  the building under a ""No Trespass"" sign. Officers then approached the individual and conducted a field interview. During   the field interview, the individual engaged in uncooperative behavior and repeatedly refused to provide the officers with  accurate identifying information. At this time, the individual made several statements pertaining to their involvement in  urinating on the sidewalk in front of pedestrians. Once the individual's true identity was determined, they were run for   wants/warrants with negative results. The individual was then informed that they were being placed under arrest for        Indecent Exposure and Trespassing. The individual was then transported to the Harvard University Police Department for     booking and issued a verbal trespass warning for all Harvard University property.                                                                                                                                                                     Name: Stearns, Elizabeth                                                                                                   Age: 53                                                                                                                    Address: Homeless                                                                                                          Charge(s): Indecent Exposure                                                                                               Trespassing",INDECENT EXPOSURE,8 STORY STCAMBRIDGE,6/26/19 6:02 AM - 6:40 AM
ARREST,2019-06-26 06:02:00+00:00,"Officers dispatched to a report of an unwanted guest urinating on the sidewalk adjacent to the building. Officers arrived, located the individual, and reported that they were in the process of removing several of their belongings placed against  the building under a ""No Trespass"" sign. Officers then approached the individual and conducted a field interview. During   the field interview, the individual engaged in uncooperative behavior and repeatedly refused to provide the officers with  accurate identifying information. At this time, the individual made several statements pertaining to their involvement in  urinating on the sidewalk in front of pedestrians. Once the individual's true identity was determined, they were run for   wants/warrants with negative results. The individual was then informed that they were being placed under arrest for        Indecent Exposure and Trespassing. The individual was then transported to the Harvard University Police Department for     booking and issued a verbal trespass warning for all Harvard University property.                                                                                                                                                                     Name: Stearns, Elizabeth                                                                                                   Age: 53                                                                                                                    Address: Homeless                                                                                                          Charge(s): Indecent Exposure                                                                                               Trespassing",INDECENT EXPOSURE,8 STORY STCAMBRIDGE,6/26/19 6:02 AM - 6:40 AM
CLOSED,2019-06-26 08:30:00+00:00,Officer dispatched to a report of graffiti/tagging to an overpass. Officer arrived and reported that the overpass was      maintained by State Police.,ASSIST STATE POLICE,64 CAMBRIDGE STALLSTON,6/26/19 8:30
CLOSED,2019-06-26 08:30:00+00:00,"Officer dispatched to a report of graffiti/tagging to an overpass. Officer arrived and reported that the overpass was     
maintained by State Police.",ASSIST STATE POLICE           ,64 CAMBRIDGE ST,"6/26/19
8:30 AM"
CLOSED,2019-06-26 08:30:00+00:00,Officer dispatched to a report of graffiti/tagging to an overpass. Officer arrived and reported that the overpass was      maintained by State Police.,ASSIST STATE POLICE,64 CAMBRIDGE STALLSTON,6/26/19 8:30
CLOSED,2019-06-26 09:53:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,SCHOOL OF ENGINEERING AND APPL 40 OXFORD ST CAMBRIDGE,6/24/19 9:15 AM - 5:30 PM
CLOSED,2019-06-26 09:53:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,SCHOOL OF ENGINEERING AND APPL 40 OXFORD ST CAMBRIDGE,6/24/19 9:15 AM - 5:30 PM
CLOSED,2019-06-26 09:53:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,SCHOOL OF ENGINEERING AND APPL 40 OXFORD ST CAMBRIDGE,"6/24/19
9:15 AM - 5:30 PM"
ARREST,2019-06-26 10:33:00+00:00,"Officer while on patrol observed an individual in the building who had an active trespass warning for all Harvard          University property. Officer approached the individual and conducted a field interview. During the field interview, the    individual engaged in uncooperative and agitated behavior. The individual was run for wants/warrants with positive results for an active warrant and positive results for an active trespass warning for all Harvard University property. The         individual was then informed that they were being placed under arrest. At this time, the individual began to yell and      actively resist the arrest. Ultimately, the individual was placed under arrest and transported to the Harvard University   Police Department for booking.                                                                                                                                                                                                                        Name: Rivera, Kristopher                                                                                                   Age: 21                                                                                                                    Address: 402 Massachusetts Ave, Cambridge, Massachusetts 02138                                                             Charge(s): Trespassing                                                                                                     Resisting Arrest                                                                                                           Warrant Services",TRESPASSING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,6/26/19 10:33 AM - 11:03 AM
ARREST,2019-06-26 10:33:00+00:00,"Officer while on patrol observed an individual in the building who had an active trespass warning for all Harvard          University property. Officer approached the individual and conducted a field interview. During the field interview, the    individual engaged in uncooperative and agitated behavior. The individual was run for wants/warrants with positive results for an active warrant and positive results for an active trespass warning for all Harvard University property. The         individual was then informed that they were being placed under arrest. At this time, the individual began to yell and      actively resist the arrest. Ultimately, the individual was placed under arrest and transported to the Harvard University   Police Department for booking.                                                                                                                                                                                                                        Name: Rivera, Kristopher                                                                                                   Age: 21                                                                                                                    Address: 402 Massachusetts Ave, Cambridge, Massachusetts 02138                                                             Charge(s): Trespassing                                                                                                     Resisting Arrest                                                                                                           Warrant Services",TRESPASSING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,6/26/19 10:33 AM - 11:03 AM
ARREST,2019-06-26 10:33:00+00:00,"Officer while on patrol observed an individual in the building who had an active trespass warning for all Harvard         
University property. Officer approached the individual and conducted a field interview. During the field interview, the   
individual engaged in uncooperative and agitated behavior. The individual was run for wants/warrants with positive results
for an active warrant and positive results for an active trespass warning for all Harvard University property. The        
individual was then informed that they were being placed under arrest. At this time, the individual began to yell and     
actively resist the arrest. Ultimately, the individual was placed under arrest and transported to the Harvard University  
Police Department for booking.                                                                                            
                                                                                                                          
Name: Rivera, Kristopher                                                                                                  
Age: 21                                                                                                                   
Address: 402 Massachusetts Ave, Cambridge, Massachusetts 02138                                                            
Charge(s): Trespassing                                                                                                    
Resisting Arrest                                                                                                          
Warrant Services",TRESPASSING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"6/26/19
10:33 AM - 11:03 AM"
CLOSED,2019-06-26 10:45:00+00:00,Officer dispatched to a report of two unwanted guests behaving in a rude manner outside of the building. Officers arrived  and reported that the individuals were gone on arrival.,UNWANTED GUEST,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,6/26/19 10:45
CLOSED,2019-06-26 10:45:00+00:00,Officer dispatched to a report of two unwanted guests behaving in a rude manner outside of the building. Officers arrived  and reported that the individuals were gone on arrival.,UNWANTED GUEST,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,6/26/19 10:45
CLOSED,2019-06-26 10:45:00+00:00,"Officer dispatched to a report of two unwanted guests behaving in a rude manner outside of the building. Officers arrived 
and reported that the individuals were gone on arrival.",UNWANTED GUEST,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,"6/26/19
10:45 AM"
CLOSED,2019-06-26 12:38:00+00:00,"Officers dispatched to a report of a drone being operated in the area. Officers arrived, located the operators, and        reported that they received the necessary permission to operate the drone.",SUSPICIOUS ACTIVITY,ATHLETICS - OHIRI FIELD 82 N HARVARD ST ALLSTON,6/26/19 12:38
CLOSED,2019-06-26 12:38:00+00:00,"Officers dispatched to a report of a drone being operated in the area. Officers arrived, located the operators, and       
reported that they received the necessary permission to operate the drone.",SUSPICIOUS ACTIVITY,ATHLETICS - OHIRI FIELD 82 N HARVARD ST ALLSTON,"6/26/19
12:38 PM"
CLOSED,2019-06-26 12:38:00+00:00,"Officers dispatched to a report of a drone being operated in the area. Officers arrived, located the operators, and        reported that they received the necessary permission to operate the drone.",SUSPICIOUS ACTIVITY,ATHLETICS - OHIRI FIELD 82 N HARVARD ST ALLSTON,6/26/19 12:38
CLOSED,2019-06-26 15:12:00+00:00,Officers dispatched to a report of individuals on the roof of the building. Officers arrived and reported that the         individuals were gone on arrival.,SUSPICIOUS ACTIVITY,38 TRAVIS STALLSTON,6/26/19 15:12
CLOSED,2019-06-26 15:12:00+00:00,Officers dispatched to a report of individuals on the roof of the building. Officers arrived and reported that the         individuals were gone on arrival.,SUSPICIOUS ACTIVITY,38 TRAVIS STALLSTON,6/26/19 15:12
CLOSED,2019-06-26 16:53:00+00:00,"Officer dispatched to a report of two individuals attempting to forcibly open a storage area. Officer arrived and reported that the individuals immediately fled the area upon their arrival. Upon review, officer reported that the storage area     remained locked and that the individuals did not appear to gain access.",THEFT REPORT,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,6/26/19 4:50 PM - 5:10 PM
CLOSED,2019-06-26 16:53:00+00:00,"Officer dispatched to a report of two individuals attempting to forcibly open a storage area. Officer arrived and reported that the individuals immediately fled the area upon their arrival. Upon review, officer reported that the storage area     remained locked and that the individuals did not appear to gain access.",THEFT REPORT,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,6/26/19 4:50 PM - 5:10 PM
CLOSED,2019-06-26 16:53:00+00:00,"Officer dispatched to a report of two individuals attempting to forcibly open a storage area. Officer arrived and reported
that the individuals immediately fled the area upon their arrival. Upon review, officer reported that the storage area    
remained locked and that the individuals did not appear to gain access.",THEFT REPORT,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,"6/26/19
4:50 PM - 5:10 PM"
CLOSED,2019-06-26 17:33:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,OXFORD STREET GARAGE 52 OXFORD ST CAMBRIDGE,6/26/19 5:45 PM - 6:20 PM
CLOSED,2019-06-26 17:33:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,OXFORD STREET GARAGE 52 OXFORD ST CAMBRIDGE,"6/26/19
5:45 PM - 6:20 PM"
CLOSED,2019-06-26 17:33:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,OXFORD STREET GARAGE 52 OXFORD ST CAMBRIDGE,6/26/19 5:45 PM - 6:20 PM
CLOSED,2019-06-26 19:40:00+00:00,Officer received a report of a bicycle theft. Officer reported that the theft occurred on Boston property and that Boston  Police was notified of the incident.,ASSIST BPD - THEFT REPORT,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,6/26/19 19:40
CLOSED,2019-06-26 19:40:00+00:00,Officer received a report of a bicycle theft. Officer reported that the theft occurred on Boston property and that Boston  Police was notified of the incident.,ASSIST BPD - THEFT REPORT,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,6/26/19 19:40
CLOSED,2019-06-26 19:40:00+00:00,"Officer received a report of a bicycle theft. Officer reported that the theft occurred on Boston property and that Boston 
Police was notified of the incident.",ASSIST BPD - THEFT REPORT,NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR BOSTON,"6/26/19
7:40 PM"
CLOSED,2019-06-27 01:44:00+00:00,"Officers dispatched to a report of an individual in possession of a firearm in the area. Officers arrived, searched the    area, and reported that the individual was gone on arrival.",ASSIST CAMBRIDGE POLICE,40 JFK STCAMBRIDGE,6/27/19 1:44
CLOSED,2019-06-27 01:44:00+00:00,"Officers dispatched to a report of an individual in possession of a firearm in the area. Officers arrived, searched the   
area, and reported that the individual was gone on arrival.",ASSIST CAMBRIDGE POLICE ,40 JFK ST,"6/27/19
1:44 AM"
CLOSED,2019-06-27 01:44:00+00:00,"Officers dispatched to a report of an individual in possession of a firearm in the area. Officers arrived, searched the    area, and reported that the individual was gone on arrival.",ASSIST CAMBRIDGE POLICE,40 JFK STCAMBRIDGE,6/27/19 1:44
CLOSED,2019-06-27 06:37:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the entryway of the building. Officer arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with negative results. The          individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,PEABODY TERRACE 31 900 MEMORIAL DR CAMBRIDGE,6/27/19 6:30 AM - 6:37 AM
CLOSED,2019-06-27 06:37:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the entryway of the building. Officer arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with negative results. The          individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,PEABODY TERRACE 31 900 MEMORIAL DR CAMBRIDGE,6/27/19 6:30 AM - 6:37 AM
CLOSED,2019-06-27 06:37:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the entryway of the building. Officer arrived, located the
individual, and conducted a field interview. The individual was run for wants/warrants with negative results. The         
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,PEABODY TERRACE 31 900 MEMORIAL DR CAMBRIDGE,"6/27/19
6:30 AM - 6:37 AM"
CLOSED,2019-06-27 10:59:00+00:00,"Officers dispatched to a report of an unwanted guest. Officers arrived, located the individual, and sent them on their     way.",UNWANTED GUEST,FORBES PLAZA 1350 MASSACHUSETTS AVE CAMBRIDGE,6/27/19 10:59
CLOSED,2019-06-27 10:59:00+00:00,"Officers dispatched to a report of an unwanted guest. Officers arrived, located the individual, and sent them on their     way.",UNWANTED GUEST,FORBES PLAZA 1350 MASSACHUSETTS AVE CAMBRIDGE,6/27/19 10:59
CLOSED,2019-06-27 10:59:00+00:00,"Officers dispatched to a report of an unwanted guest. Officers arrived, located the individual, and sent them on their    
way.",UNWANTED GUEST,FORBES PLAZA 1350 MASSACHUSETTS AVE CAMBRIDGE,"6/27/19
10:59 AM"
CLOSED,2019-06-27 11:05:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,TOSTESON MEC 260 LONGWOOD AVE BOSTON,6/24/19 6:00 AM - 4:00 PM
CLOSED,2019-06-27 11:05:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,TOSTESON MEC 260 LONGWOOD AVE BOSTON,6/24/19 6:00 AM - 4:00 PM
CLOSED,2019-06-27 11:05:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,TOSTESON MEC 260 LONGWOOD AVE BOSTON,"6/24/19
6:00 AM - 4:00 PM"
CLOSED,2019-06-27 13:59:00+00:00,Officer took a walk-in report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,9/20/15 - 11:45 AM 6/27/19 - 2:05 PM
CLOSED,2019-06-27 13:59:00+00:00,Officer took a walk-in report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,9/20/15 - 11:45 AM 6/27/19 - 2:05 PM
CLOSED,2019-06-27 13:59:00+00:00,Officer took a walk-in report of annoying emails.,"ANNOYING
CALLS/TEXTS/EMAILS",HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,"9/20/15 - 11:45 AM
6/27/19 - 2:05 PM"
OPEN,2019-06-27 15:10:00+00:00,Officer dispatched to take a report of a stolen Sharp television valued at $100.00.,THEFT REPORT,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,"6/27/19
2:00 PM - 3:10 PM"
OPEN,2019-06-27 15:10:00+00:00,Officer dispatched to take a report of a stolen Sharp television valued at $100.00.,THEFT REPORT,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,6/27/19 2:00 PM - 3:10 PM
OPEN,2019-06-27 15:10:00+00:00,Officer dispatched to take a report of a stolen Sharp television valued at $100.00.,THEFT REPORT,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,6/27/19 2:00 PM - 3:10 PM
CLOSED,2019-06-27 15:33:00+00:00,Officer dispatched to a report of an individual causing a disturbance by yelling. Officer arrived and reported that        Cambridge Police was notified of the incident.,ASSIST CAMBRIDGE POLICE,QUINCY ST / HARVARD ST,6/27/19 15:33
CLOSED,2019-06-27 15:33:00+00:00,Officer dispatched to a report of an individual causing a disturbance by yelling. Officer arrived and reported that        Cambridge Police was notified of the incident.,ASSIST CAMBRIDGE POLICE,QUINCY ST / HARVARD ST,6/27/19 15:33
CLOSED,2019-06-28 00:45:00+00:00,"Officers dispatched to a report of a motor vehicle parked in the driveway for several hours. Officers arrived and reported
that the motor was unattended and appeared to be a personal vehicle.",MOTOR VEHICLE COMPLAINT,VANDERBILT CIRCLE 108 AVE LOUIS PASTEUR BOSTON,"6/28/19
0:45 AM"
CLOSED,2019-06-28 00:45:00+00:00,Officers dispatched to a report of a motor vehicle parked in the driveway for several hours. Officers arrived and reported that the motor was unattended and appeared to be a personal vehicle.,MOTOR VEHICLE COMPLAINT,VANDERBILT CIRCLE 108 AVE LOUIS PASTEUR BOSTON,6/28/19 0:45
CLOSED,2019-06-28 00:45:00+00:00,Officers dispatched to a report of a motor vehicle parked in the driveway for several hours. Officers arrived and reported that the motor was unattended and appeared to be a personal vehicle.,MOTOR VEHICLE COMPLAINT,VANDERBILT CIRCLE 108 AVE LOUIS PASTEUR BOSTON,6/28/19 0:45
CLOSED,2019-06-28 11:45:00+00:00,"Officer dispatched to a report of a pedestrian struck by a motor vehicle. Officer arrived and reported that Cambridge     
Police  was on scene and took jurisdiction over the incident shortly thereafter.",ASSIST CAMBRIDGE POLICE ,ELIOT ST,"6/28/19
11:45 AM"
CLOSED,2019-06-28 11:45:00+00:00,Officer dispatched to a report of a pedestrian struck by a motor vehicle. Officer arrived and reported that Cambridge      Police  was on scene and took jurisdiction over the incident shortly thereafter.,ASSIST CAMBRIDGE POLICE,ELIOT STCAMBRIDGE,6/28/19 11:45
CLOSED,2019-06-28 11:45:00+00:00,Officer dispatched to a report of a pedestrian struck by a motor vehicle. Officer arrived and reported that Cambridge      Police  was on scene and took jurisdiction over the incident shortly thereafter.,ASSIST CAMBRIDGE POLICE,ELIOT STCAMBRIDGE,6/28/19 11:45
CLOSED,2019-06-28 16:58:00+00:00,"Officers dispatched to a report of an unwanted guest inside of the building. Officers arrived, located the individual, and sent them on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,6/28/19 16:58
CLOSED,2019-06-28 16:58:00+00:00,"Officers dispatched to a report of an unwanted guest inside of the building. Officers arrived, located the individual, and
sent them on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"6/28/19
4:58 PM"
CLOSED,2019-06-28 16:58:00+00:00,"Officers dispatched to a report of an unwanted guest inside of the building. Officers arrived, located the individual, and sent them on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,6/28/19 16:58
CLOSED,2019-06-29 00:31:00+00:00,"Officer dispatched to a report of several individuals consuming alcoholic beverages and attempting to climb on the statue.
Officer arrived and reported that the individuals were gone on arrival.",SUSPICIOUS ACTIVITY,JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,"6/29/19
0:31 AM"
CLOSED,2019-06-29 00:31:00+00:00,Officer dispatched to a report of several individuals consuming alcoholic beverages and attempting to climb on the statue. Officer arrived and reported that the individuals were gone on arrival.,SUSPICIOUS ACTIVITY,JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,6/29/19 0:31
CLOSED,2019-06-29 00:31:00+00:00,Officer dispatched to a report of several individuals consuming alcoholic beverages and attempting to climb on the statue. Officer arrived and reported that the individuals were gone on arrival.,SUSPICIOUS ACTIVITY,JOHN HARVARD STATUE 1 HARVARD YARD CAMBRIDGE,6/29/19 0:31
CLOSED,2019-06-29 01:49:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived, located the individual, and    sent them on their way.",ASSIST STATE POLICE,JFK PARK 968 MEMORIAL DR CAMBRIDGE,6/29/19 1:49
CLOSED,2019-06-29 01:49:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived, located the individual, and   
sent them on their way.",ASSIST STATE POLICE,JFK PARK 968 MEMORIAL DR CAMBRIDGE,"6/29/19
1:49 AM"
CLOSED,2019-06-29 01:49:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping on a bench. Officers arrived, located the individual, and    sent them on their way.",ASSIST STATE POLICE,JFK PARK 968 MEMORIAL DR CAMBRIDGE,6/29/19 1:49
OPEN,2019-06-29 07:10:00+00:00,"Officer dispatched to a report of a stolen green Yamaha golf cart valued at $2,000.00. The reporting individual informed  
the officer that the golf cart was stolen from a storage area and that two chain locks sustained damage as well as a chain
link fence.",THEFT REPORT,ATHLETICS - CUMNOCK FIELD 2 79 N HARVARD ST ALLSTON,"6/28/19 - 3:30 PM
6/29/19 - 7:10 AM"
OPEN,2019-06-29 07:10:00+00:00,"Officer dispatched to a report of a stolen green Yamaha golf cart valued at $2,000.00. The reporting individual informed   the officer that the golf cart was stolen from a storage area and that two chain locks sustained damage as well as a chain link fence.",THEFT REPORT,ATHLETICS - CUMNOCK FIELD 2 79 N HARVARD ST ALLSTON,6/28/19 - 3:30 PM 6/29/19 - 7:10 AM
OPEN,2019-06-29 07:10:00+00:00,"Officer dispatched to a report of a stolen green Yamaha golf cart valued at $2,000.00. The reporting individual informed   the officer that the golf cart was stolen from a storage area and that two chain locks sustained damage as well as a chain link fence.",THEFT REPORT,ATHLETICS - CUMNOCK FIELD 2 79 N HARVARD ST ALLSTON,6/28/19 - 3:30 PM 6/29/19 - 7:10 AM
CLOSED,2019-06-29 16:55:00+00:00,Officer took a report of annoying emails.,"ANNOYING
CALLS/TEXTS/EMAILS",HARVARD UNIVERSITY POLICE DEPA 1033 MASSACHUSETTS AVE CAMBRIDGE,"6/29/19
4:55 PM - 5:10 PM"
CLOSED,2019-06-29 16:55:00+00:00,Officer took a report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,HARVARD UNIVERSITY POLICE DEPA 1033 MASSACHUSETTS AVE CAMBRIDGE,6/29/19 4:55 PM - 5:10 PM
CLOSED,2019-06-29 16:55:00+00:00,Officer took a report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,HARVARD UNIVERSITY POLICE DEPA 1033 MASSACHUSETTS AVE CAMBRIDGE,6/29/19 4:55 PM - 5:10 PM
CLOSED,2019-06-29 19:45:00+00:00,Officers dispatched to a report of suspicious activity. Officers arrived and reported that all was in order.,SUSPICIOUS ACTIVITY,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,6/29/19 19:45
CLOSED,2019-06-29 19:45:00+00:00,Officers dispatched to a report of suspicious activity. Officers arrived and reported that all was in order.,SUSPICIOUS ACTIVITY,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,6/29/19 19:45
CLOSED,2019-06-29 19:45:00+00:00,Officers dispatched to a report of suspicious activity. Officers arrived and reported that all was in order.,SUSPICIOUS ACTIVITY,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,"6/29/19
7:45 PM"
CLOSED,2019-06-29 19:46:00+00:00,Officer dispatched to take a report of a stolen black backpack valued at $40.00 from the courtyard outside of the          building.,THEFT REPORT,QUINCY HOUSE A - MATHER HALL 58 PLYMPTON ST CAMBRIDGE,6/28/19 8:00 PM - 10:00 PM
CLOSED,2019-06-29 19:46:00+00:00,"Officer dispatched to take a report of a stolen black backpack valued at $40.00 from the courtyard outside of the         
building.",THEFT REPORT,QUINCY HOUSE A - MATHER HALL 58 PLYMPTON ST CAMBRIDGE,"6/28/19
8:00 PM - 10:00 PM"
CLOSED,2019-06-29 19:46:00+00:00,Officer dispatched to take a report of a stolen black backpack valued at $40.00 from the courtyard outside of the          building.,THEFT REPORT,QUINCY HOUSE A - MATHER HALL 58 PLYMPTON ST CAMBRIDGE,6/28/19 8:00 PM - 10:00 PM
CLOSED,2019-06-30 13:14:00+00:00,Officer dispatched to take a report of a stolen gray Miyata bicycle valued at $320.00. The reporting individual informed   the officer that the bicycle was secured with a cable lock that was left at the scene.,THEFT REPORT,KIRKLAND HOUSE A - SMITH HALL 95 DUNSTER ST CAMBRIDGE,6/29/19 - 10:00 PM 6/30/19 - 12:00 PM
CLOSED,2019-06-30 13:14:00+00:00,"Officer dispatched to take a report of a stolen gray Miyata bicycle valued at $320.00. The reporting individual informed  
the officer that the bicycle was secured with a cable lock that was left at the scene.",THEFT REPORT,KIRKLAND HOUSE A - SMITH HALL 95 DUNSTER ST CAMBRIDGE,"6/29/19 - 10:00 PM
6/30/19 - 12:00 PM"
CLOSED,2019-06-30 13:14:00+00:00,Officer dispatched to take a report of a stolen gray Miyata bicycle valued at $320.00. The reporting individual informed   the officer that the bicycle was secured with a cable lock that was left at the scene.,THEFT REPORT,KIRKLAND HOUSE A - SMITH HALL 95 DUNSTER ST CAMBRIDGE,6/29/19 - 10:00 PM 6/30/19 - 12:00 PM
ARREST,2019-06-30 16:01:00+00:00,"Officers dispatched to a report of an individual in the building who had an active trespass warning for all Harvard        University property. Officers arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with negative results but did show positive results for an active trespass warning. The individual was then informed that they were being placed under arrest for trespassing. At this time, the individual began to repeatedly pull   away from the officer and resist arrest. Ultimately, the individual was placed under arrest, re-issued a verbal trespass   warning for all Harvard University property, and transported to the Cambridge Police Department for booking.                                                                                                                                          Name: Moorehead, Glenn                                                                                                     Age: 55                                                                                                                    Address: 141 Oxford St, Cambridge, Massachusetts 02140                                                                     Charge(s): Trespassing                                                                                                     Resisting Arrest",TRESPASSING,HARKNESS COMMONS 14 EVERETT ST CAMBRIDGE,6/30/19 3:45 PM - 6:30 PM
ARREST,2019-06-30 16:01:00+00:00,"Officers dispatched to a report of an individual in the building who had an active trespass warning for all Harvard        University property. Officers arrived, located the individual, and conducted a field interview. The individual was run for wants/warrants with negative results but did show positive results for an active trespass warning. The individual was then informed that they were being placed under arrest for trespassing. At this time, the individual began to repeatedly pull   away from the officer and resist arrest. Ultimately, the individual was placed under arrest, re-issued a verbal trespass   warning for all Harvard University property, and transported to the Cambridge Police Department for booking.                                                                                                                                          Name: Moorehead, Glenn                                                                                                     Age: 55                                                                                                                    Address: 141 Oxford St, Cambridge, Massachusetts 02140                                                                     Charge(s): Trespassing                                                                                                     Resisting Arrest",TRESPASSING,HARKNESS COMMONS 14 EVERETT ST CAMBRIDGE,6/30/19 3:45 PM - 6:30 PM
